#metadataBlock	name	dataverseAlias	displayName	blockURI												
	citation		Citation Metadata	https://dataverse.org/schema/citation/												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	producerAffiliation	Affiliation	The organization with which the producer is affiliated.		text	36	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
	producerAbbreviation	Abbreviation	The abbreviation by which the producer is commonly known. (ex. IQSS, ICPSR)		text	37	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
	producerURL	URL	Producer URL points to the producer's web presence, if appropriate. Enter an absolute URL where the producer's web site is found, such as http://www.my.org.  	Enter full URL, starting with http://	url	38	"<a href=""#VALUE"" target=""_blank"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
	founding	Founding	External founding of a project		text	39		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	foundingAgency	Funding institution	The institution granting external financing of a project		text	40	#VALUE:	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	founding	citation	
	foundingName	Grant name			text	41	#VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	founding	citation	
	foundingID	Grant ID			text	42	#VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	founding	citation	
	grantInfo	Grant Information	Additional information about the awarded grant		text	43		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	founding	citation	
	depositor	Depositor	The person (Family Name, Given Name) or the name of the organization that deposited this Dataset to the repository.		text	44		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation	
	dateOfDeposit	Deposit Date	Date that the Dataset was deposited into the repository.	YYYY-MM-DD	date	45		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		citation	http://purl.org/dc/terms/dateSubmitted
	dateOfCollection	Date of Collection	Contains the date(s) when the data were collected.		none	46	;	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	dateOfCollectionStart	Start	Date when the data collection started.	YYYY-MM-DD	date	47	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dateOfCollection	citation	
	dateOfCollectionEnd	End	Date when the data collection ended.	YYYY-MM-DD	date	48	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dateOfCollection	citation	
	kindOfData	Kind of Data	Type of data included in the file: survey data, census/enumeration data, aggregate data, clinical data, event/transaction data, program source code, machine-readable text, administrative records data, experimental data, psychological test, textual data, coded textual, coded documents, time budget diaries, observation data/ratings, process-produced data, or other.		text	49	#VALUE:	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		citation	http://rdf-vocabulary.ddialliance.org/discovery#kindOfData
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	subjectField	1. Humanities		0												
	subjectField	2. Engineering and technology		1												
	subjectField	3. Medical and health sciences		2												
	subjectField	4. Agricultural sciences		3												
	subjectField	5. Social sciences		4												
	subjectField	6. Natural sciences		5												
	subjectField	7. Theology		6												
	subjectField	8. The arts		7												
	subjectSubField	1.1 Archeology		0												
	subjectSubField	1.2 Philosophy		1												
	subjectSubField	1.3 History		2												
	subjectSubField	1.4 Linguistics		3												
	subjectSubField	1.5 Literary studies		4												
	subjectSubField	16a		5												
	subjectSubField	17a		6												
	subjectSubField	21a		7												
	subjectSubField	22a		8												
	subjectSubField	23a		9												
	subjectSubField	24a		10												
	subjectSubField	25a		11												
	subjectSubField	26a		12												
	subjectSubField	27a		13												
	subjectSubField	28a		14												
	subjectSubField	29a		15												
	subjectSubField	31a		16												
	subjectSubField	32a		17												
	subjectSubField	33a		18												
	subjectSubField	34a		19												
	subjectSubField	41a		20												
	subjectSubField	42a		21												
	subjectSubField	43a		22												
	subjectSubField	44a		23												
	subjectSubField	45a		24												
	subjectSubField	51a		25												
	subjectSubField	52a		26												
	subjectSubField	53a		27												
	subjectSubField	54a		28												
	subjectSubField	55a		29												
	subjectSubField	56a		30												
	subjectSubField	57a		31												
	subjectSubField	58a		32												
	subjectSubField	59a		33												
	subjectSubField	510a		34												
	subjectSubField	511a		35												
	subjectSubField	61a		36												
	subjectSubField	62a		37												
	subjectSubField	63a		38												
	subjectSubField	64a		39												
	subjectSubField	65a		40												
	subjectSubField	66a		41												
	subjectSubField	67a		42												
	subjectSubField	71a		43												
	subjectSubField	81a		44												
	subjectSubField	82a		45												
	subjectSubField	83a		46												
	authorIdentifierScheme	ORCID		0												
	authorIdentifierScheme	ISNI		1												
	authorIdentifierScheme	LCNA		2												
	authorIdentifierScheme	VIAF		3												
	authorIdentifierScheme	GND		4												
	authorIdentifierScheme	DAI		5												
	authorIdentifierScheme	ResearcherID		6												
	authorIdentifierScheme	ScopusID		7												
	language	English		0												
	language	Polish		1												
	language	French		2												
	language	Spanish, Castilian		3												
	language	German		4												
	language	Russian		5												
	language	Italian		6												
	language	Abkhaz		7												
	language	Afar		8												
	language	Afrikaans		9												
	language	Akan		10												
	language	Albanian		11												
	language	Amharic		12												
	language	Arabic		13												
	language	Aragonese		14												
	language	Armenian		15												
	language	Assamese		16												
	language	Avaric		17												
	language	Avestan		18												
	language	Aymara		19												
	language	Azerbaijani		20												
	language	Bambara		21												
	language	Bashkir		22												
	language	Basque		23												
	language	Belarusian		24												
	language	Bengali, Bangla		25												
	language	Bihari		26												
	language	Bislama		27												
	language	Bosnian		28												
	language	Breton		29												
	language	Bulgarian		30												
	language	Burmese		31												
	language	Catalan,Valencian		32												
	language	Chamorro		33												
	language	Chechen		34												
	language	Chichewa, Chewa, Nyanja		35												
	language	Chinese		36												
	language	Chuvash		37												
	language	Cornish		38												
	language	Corsican		39												
	language	Cree		40												
	language	Croatian		41												
	language	Czech		42												
	language	Danish		43												
	language	Divehi, Dhivehi, Maldivian		44												
	language	Dutch		45												
	language	Dzongkha		46												
	language	Esperanto		47												
	language	Estonian		48												
